0;0;0;0;sea;false;ocean;0
102;212;131;191;land;false;plains;1
103;164;9;226;land;false;plains;1
104;182;190;242;land;false;plains;1
105;160;239;102;land;false;plains;1
106;4;17;114;land;false;plains;1
107;103;184;197;land;false;plains;1
108;77;151;118;land;false;plains;1
109;129;57;38;land;false;plains;1
110;160;246;48;land;false;plains;1
111;210;103;158;land;false;plains;1
112;35;121;250;land;true;plains;1
113;62;165;229;land;true;plains;1
114;161;237;151;land;false;plains;1
115;139;218;74;land;false;plains;1
116;202;28;132;land;false;plains;1
117;151;168;99;land;false;plains;1
118;131;102;66;land;false;plains;1
119;113;27;174;land;false;plains;1
120;58;146;228;land;false;plains;1
121;81;56;30;land;false;plains;1
122;81;46;83;land;false;plains;1
123;115;206;142;land;false;plains;1
124;30;44;187;land;false;plains;1
125;81;106;17;land;false;plains;1
126;44;116;113;land;false;plains;1
127;58;108;7;land;false;plains;1
128;34;80;34;land;false;plains;1
129;56;37;210;land;true;plains;1
130;150;76;9;land;false;plains;1
131;23;55;197;land;false;plains;1
132;195;106;164;land;false;plains;1
133;68;141;249;land;false;plains;1
134;249;136;176;land;false;plains;1
135;141;43;221;land;false;plains;1
136;175;36;224;land;true;plains;1
137;191;102;65;land;false;plains;1
138;76;150;56;land;false;plains;1
139;227;181;221;land;false;plains;1
140;227;99;32;land;false;plains;1
141;83;124;91;land;false;plains;1
142;86;195;236;land;true;plains;1
143;16;85;176;land;false;plains;1
144;110;68;214;land;false;plains;1
145;250;211;138;land;false;plains;1
146;184;14;22;land;false;plains;1
147;219;138;254;land;false;plains;1
148;240;217;26;land;false;plains;1
149;162;26;160;land;false;plains;1
150;223;2;123;land;false;plains;1
151;211;20;255;land;false;plains;1
152;44;220;222;land;false;plains;1
153;185;130;155;land;false;plains;1
154;217;93;232;land;false;plains;1
155;70;43;245;land;true;plains;1
156;16;1;201;land;true;plains;1
157;194;127;92;land;false;plains;1
158;180;255;222;land;false;plains;1
159;161;55;212;land;false;plains;1
160;245;154;38;land;false;plains;1
161;115;71;201;land;true;plains;1
162;76;39;128;land;false;plains;1
163;42;251;249;land;false;plains;1
164;195;163;185;land;false;plains;1
165;9;157;184;land;false;plains;1
166;18;221;17;land;false;plains;1
167;194;195;230;land;false;plains;1
168;31;96;29;land;false;plains;1
169;121;46;217;land;false;plains;1
170;85;100;152;land;false;plains;1
171;179;24;106;land;false;plains;1
172;190;120;145;land;false;plains;1
173;54;70;29;land;false;plains;1
174;194;71;189;land;false;plains;1
175;90;55;126;land;false;plains;1
176;137;202;236;land;false;plains;1
177;52;112;14;land;false;plains;1
178;99;37;9;land;false;plains;1
179;17;194;186;land;false;plains;1
180;109;96;52;land;false;plains;1
181;170;68;61;land;false;plains;1
182;127;72;231;land;false;plains;1
183;248;128;127;land;false;plains;1
184;60;16;44;land;false;plains;1
185;147;41;37;land;false;plains;1
186;24;166;226;land;true;plains;1
187;114;92;65;land;false;plains;1
188;247;95;108;land;false;plains;1
189;149;159;103;land;false;plains;1
190;163;1;254;land;false;plains;1
191;228;255;93;land;false;plains;1
192;176;64;94;land;false;plains;1
193;25;178;237;land;false;plains;1
194;140;23;158;land;false;plains;1
195;173;250;104;land;false;plains;1
196;15;97;12;land;false;plains;1
197;36;81;80;land;false;plains;1
198;68;10;108;land;false;plains;1
199;199;232;187;land;false;plains;1
200;16;58;116;land;true;plains;1
201;197;137;190;land;false;plains;1
202;136;16;214;land;false;plains;1
203;194;94;113;land;false;plains;1
204;164;38;66;land;false;plains;1
205;215;25;43;land;false;plains;1
206;211;218;119;land;false;plains;1
207;49;64;219;land;false;plains;1
208;23;252;31;land;false;plains;1
209;242;58;126;land;false;plains;1
210;40;109;67;land;false;plains;1
211;93;253;170;land;false;plains;1
212;23;32;70;land;false;plains;1
213;7;111;232;land;false;plains;1
214;123;224;73;land;false;plains;1
215;119;194;72;land;false;plains;1
216;57;180;5;land;false;plains;1
217;68;205;85;land;false;plains;1
218;111;26;26;land;false;plains;1
219;127;179;64;land;false;plains;1
220;61;183;234;land;false;plains;1
221;185;24;136;land;false;plains;1
222;54;56;182;land;false;plains;1
223;11;39;124;land;false;plains;1
224;160;158;254;land;true;plains;1
225;250;31;182;land;false;plains;1
226;235;53;142;land;false;plains;1
227;139;85;28;land;false;plains;1
228;34;233;94;land;false;plains;1
229;132;214;244;land;false;plains;1
230;127;177;155;land;false;plains;1
231;39;70;108;land;false;plains;1
232;43;1;224;land;false;plains;1
233;226;206;23;land;false;plains;1
234;77;144;199;land;false;plains;1
235;190;55;26;land;false;plains;1
236;211;77;118;land;false;plains;1
237;75;183;129;land;false;plains;1
238;220;240;250;land;false;plains;1
239;174;46;142;land;false;plains;1
240;212;47;233;land;false;plains;1
241;200;16;198;land;false;plains;1
242;42;111;88;land;true;plains;1
243;236;177;82;land;false;plains;1
244;142;147;44;land;false;plains;1
245;187;140;20;land;false;plains;1
246;168;213;32;land;false;plains;1
247;190;178;217;land;true;plains;1
248;11;162;72;land;false;plains;1
249;75;31;209;land;false;plains;1
250;220;223;62;land;false;plains;1
251;93;220;101;land;false;plains;1
252;195;229;189;land;false;plains;1
253;183;40;160;land;false;plains;1
254;174;73;147;land;false;plains;1
255;247;53;88;land;false;plains;1
256;34;97;56;land;false;plains;1
257;125;120;60;land;false;plains;1
258;45;219;116;land;false;plains;1
259;105;99;211;land;true;plains;1
260;105;60;210;land;false;plains;1
261;74;164;59;land;false;plains;1
262;105;163;151;land;false;plains;1
263;83;157;5;land;true;plains;1
264;34;236;109;land;false;plains;1
265;49;53;23;land;false;plains;1
266;209;238;194;land;false;plains;1
267;231;72;101;land;false;plains;1
268;129;172;103;land;false;plains;1
269;114;103;248;land;true;plains;1
270;214;247;188;land;false;plains;1
271;94;196;12;land;false;plains;1
272;31;195;116;land;false;plains;1
273;58;11;71;land;false;plains;1
274;139;30;228;land;true;plains;1
275;19;234;64;land;false;plains;1
276;69;113;204;land;false;plains;1
277;207;57;254;land;false;plains;1
278;52;195;246;land;false;plains;1
279;120;135;110;land;true;plains;1
280;208;114;1;land;false;plains;1
281;174;182;108;land;true;plains;1
282;177;143;41;land;false;plains;1
283;203;152;45;land;false;plains;1
284;234;99;192;land;false;plains;1
285;49;172;201;land;false;plains;1
286;129;54;33;land;false;plains;1
287;48;224;125;land;false;plains;1
288;246;191;199;land;true;plains;1
289;69;148;2;land;false;plains;1
290;131;229;213;land;false;plains;1
291;118;234;54;land;false;plains;1
292;40;53;210;land;true;plains;1
293;137;7;45;land;false;plains;1
294;66;25;146;land;false;plains;1
295;33;180;37;land;false;plains;1
296;57;249;255;land;false;plains;1
297;9;70;225;land;false;plains;1
298;189;113;23;land;false;plains;1
299;175;9;66;land;false;plains;1
300;76;45;200;land;true;plains;1
301;204;222;236;land;false;plains;1
302;199;214;72;land;false;plains;1
303;121;2;88;land;true;plains;1
304;53;118;135;land;false;plains;1
305;191;39;127;land;false;plains;1
306;135;129;105;land;false;plains;1
307;84;138;83;land;false;plains;1
308;41;80;119;land;false;plains;1
309;187;155;253;land;false;plains;1
310;22;147;235;land;false;plains;1
311;58;124;100;land;true;plains;1
312;167;164;99;land;false;plains;1
313;16;158;46;land;false;plains;1
314;131;209;70;land;false;plains;1
315;144;65;192;land;false;plains;1
316;17;174;211;land;false;plains;1
317;238;173;88;land;false;plains;1
318;120;154;99;land;false;plains;1
319;171;45;139;land;false;plains;1
320;122;235;100;land;false;plains;1
321;230;219;212;land;false;plains;1
322;183;34;168;land;false;plains;1
323;240;10;152;land;false;plains;1
324;42;202;146;land;true;plains;1
325;48;132;204;land;false;plains;1
326;233;36;130;land;false;plains;1
327;111;169;152;land;false;plains;1
328;1;63;24;land;false;plains;1
329;220;48;172;land;true;plains;1
330;34;125;23;land;false;plains;1
331;41;231;60;land;false;plains;1
332;244;52;81;land;true;plains;1
333;101;157;81;land;false;plains;1
334;42;117;46;land;false;plains;1
335;213;245;35;land;false;plains;1
336;183;226;68;land;false;plains;1
337;59;187;250;land;false;plains;1
338;56;20;148;land;false;plains;1
339;161;229;93;land;true;plains;1
340;223;124;111;land;false;plains;1
341;146;157;65;land;false;plains;1
342;68;176;198;land;false;plains;1
343;179;248;139;land;false;plains;1
344;63;24;128;land;false;plains;1
345;216;57;178;land;false;plains;1
346;227;75;77;land;true;plains;1
347;24;49;108;land;false;plains;1
348;157;211;183;land;false;plains;1
349;66;5;49;land;false;plains;1
350;247;179;151;land;false;plains;1
351;79;0;141;land;false;plains;1
352;53;166;110;land;false;plains;1
353;107;50;188;land;false;plains;1
354;145;212;68;land;false;plains;1
355;196;139;124;land;false;plains;1
356;116;6;38;land;false;plains;1
357;250;210;168;land;false;plains;1
358;14;20;101;land;false;plains;1
359;213;104;135;land;false;plains;1
360;10;200;139;land;false;plains;1
361;92;114;155;land;false;plains;1
362;106;251;22;land;false;plains;1
363;111;124;0;land;true;plains;1
364;116;155;14;land;false;plains;1
365;9;75;201;land;false;plains;1
366;5;213;93;land;true;plains;1
367;206;86;92;land;false;plains;1
368;74;157;217;land;false;plains;1
369;30;7;192;land;true;plains;1
370;121;137;208;land;false;plains;1
371;215;108;67;land;false;plains;1
372;117;221;197;land;false;plains;1
373;200;113;195;land;false;plains;1
374;49;94;122;land;false;plains;1
375;99;219;169;land;false;plains;1
376;22;126;57;land;false;plains;1
377;18;125;42;land;false;plains;1
378;233;130;142;land;false;plains;1
379;229;21;99;land;false;plains;1
380;224;118;67;land;true;plains;1
381;222;164;240;land;false;plains;1
382;207;117;255;land;false;plains;1
383;73;10;20;land;false;plains;1
384;177;158;7;land;false;plains;1
385;168;50;175;land;false;plains;1
386;83;226;236;land;false;plains;1
387;61;161;73;land;false;plains;1
388;125;50;93;land;false;plains;1
389;6;205;141;land;false;plains;1
390;184;110;36;land;false;plains;1
391;174;211;201;land;false;plains;1
392;177;38;9;land;false;plains;1
393;210;208;199;land;false;plains;1
394;2;206;135;land;false;plains;1
395;163;1;180;land;false;plains;1
396;154;216;239;land;false;plains;1
397;209;94;6;land;false;plains;1
398;198;164;227;land;false;plains;1
399;35;47;88;land;false;plains;1
400;69;55;34;land;false;plains;1
401;60;107;44;land;false;plains;1
402;46;182;184;land;false;plains;1
403;213;28;204;land;false;plains;1
404;23;129;168;land;false;plains;1
405;47;151;66;land;false;plains;1
406;45;31;44;land;false;plains;1
407;51;24;11;land;false;plains;1
408;71;69;146;land;false;plains;1
409;222;161;19;land;false;plains;1
410;13;74;208;land;false;plains;1
411;206;255;162;land;false;plains;1
412;99;58;60;land;false;plains;1
413;126;30;32;land;false;plains;1
414;226;17;51;land;false;plains;1
415;1;8;229;land;false;plains;1
416;49;153;206;land;false;plains;1
417;224;78;15;land;true;plains;1
418;253;156;52;land;false;plains;1
419;203;103;223;land;false;plains;1
420;65;205;27;land;false;plains;1
421;224;195;203;land;false;plains;1
422;115;109;182;land;false;plains;1
423;201;32;5;land;false;plains;1
424;187;113;227;land;false;plains;1
425;244;152;152;land;false;plains;1
426;197;178;50;land;true;plains;1
427;199;131;135;land;false;plains;1
428;109;35;189;land;false;plains;1
429;170;4;95;land;false;plains;1
430;51;248;199;land;false;plains;1
431;170;149;150;land;true;plains;1
432;215;62;162;land;true;plains;1
433;159;45;190;land;false;plains;1
434;184;127;92;land;false;plains;1
435;120;33;49;land;false;plains;1
436;223;42;225;land;false;plains;1
437;183;218;108;land;false;plains;1
438;133;202;101;land;false;plains;1
439;180;255;52;land;false;plains;1
440;93;225;103;land;false;plains;1
441;113;225;85;land;false;plains;1
442;241;182;105;land;true;plains;1
443;70;204;25;land;false;plains;1
444;151;81;72;land;false;plains;1
445;219;123;162;land;false;plains;1
446;221;87;70;land;false;plains;1
447;199;185;142;land;false;plains;1
448;21;95;39;land;false;plains;1
449;225;35;71;land;false;plains;1
450;62;125;127;land;false;plains;1
451;142;47;163;land;false;plains;1
452;23;18;236;land;false;plains;1
453;129;127;47;land;false;plains;1
454;123;34;90;land;false;plains;1
455;117;47;195;land;false;plains;1
456;73;114;102;land;false;plains;1
457;105;242;235;land;false;plains;1
458;111;245;250;land;false;plains;1
459;129;246;82;land;false;plains;1
460;228;233;212;land;false;plains;1
461;5;116;128;land;false;plains;1
462;153;43;40;land;false;plains;1
463;145;226;25;land;false;plains;1
464;219;104;85;land;false;plains;1
465;5;238;244;land;false;plains;1
466;138;229;210;land;false;plains;1
467;9;183;122;land;false;plains;1
468;111;166;244;land;false;plains;1
469;188;66;32;land;false;plains;1
470;201;208;4;land;false;plains;1
471;35;147;186;land;false;plains;1
472;142;46;222;land;true;plains;1
473;218;241;100;land;false;plains;1
474;215;182;173;land;false;plains;1
475;62;151;219;land;false;plains;1
476;200;36;78;land;false;plains;1
477;215;120;32;land;false;plains;1
478;81;232;164;land;false;plains;1
479;29;75;153;land;false;plains;1
480;230;187;124;land;false;plains;1
481;131;107;131;land;false;plains;1
482;138;16;225;land;false;plains;1
483;112;212;66;land;false;plains;1
484;221;16;203;land;false;plains;1
485;116;34;120;land;true;plains;1
486;28;41;249;land;true;plains;1
487;171;206;231;land;false;plains;1
488;87;114;57;land;false;plains;1
489;166;234;250;land;false;plains;1
490;136;133;71;land;false;plains;1
491;167;19;16;land;false;plains;1
492;206;81;6;land;false;plains;1
493;194;11;225;land;false;plains;1
494;153;109;221;land;false;plains;1
495;120;41;238;land;false;plains;1
496;252;4;73;land;false;plains;1
497;133;159;68;land;false;plains;1
498;230;34;205;land;false;plains;1
499;218;253;48;land;false;plains;1
500;63;135;151;land;false;plains;1
501;80;28;109;land;false;plains;1
502;179;154;181;land;false;plains;1
503;144;201;239;land;false;plains;1
504;243;246;34;land;false;plains;1
505;71;94;234;land;false;plains;1
506;70;178;54;land;false;plains;1
507;20;179;89;land;false;plains;1
508;18;17;85;land;true;plains;1
509;247;81;126;land;false;plains;1
510;214;226;106;land;false;plains;1
511;195;213;40;land;false;plains;1
512;199;208;235;land;false;plains;1
513;6;230;118;land;false;plains;1
514;25;160;68;land;false;plains;1
515;147;7;56;land;false;plains;1
516;90;138;19;land;false;plains;1
517;230;146;35;land;false;plains;1
518;124;47;119;land;false;plains;1
519;162;59;227;land;false;plains;1
520;103;185;12;land;false;plains;1
521;78;141;148;land;false;plains;1
522;188;111;162;land;false;plains;1
523;144;183;129;land;false;plains;1
524;45;24;108;land;false;plains;1
525;97;9;73;land;false;plains;1
526;183;206;228;land;false;plains;1
527;141;124;73;land;false;plains;1
528;123;222;3;land;true;plains;1
529;92;57;70;land;false;plains;1
530;47;51;42;land;false;plains;1
531;23;236;31;land;false;plains;1
532;83;2;7;land;false;plains;1
533;51;42;221;land;false;plains;1
534;40;133;92;land;false;plains;1
535;143;36;216;land;false;plains;1
536;170;232;46;land;false;plains;1
537;100;18;111;land;false;plains;1
538;127;5;113;land;false;plains;1
539;203;102;45;land;false;plains;1
540;114;168;26;land;false;plains;1
541;172;179;140;land;false;plains;1
542;207;185;112;land;false;plains;1
543;77;101;149;land;false;plains;1
544;110;86;207;land;false;plains;1
545;155;211;93;land;false;plains;1
546;83;109;139;land;false;plains;1
547;154;209;105;land;false;plains;1
548;119;1;31;land;false;plains;1
549;173;183;89;land;false;plains;1
550;227;201;235;land;false;plains;1
551;7;103;1;land;false;plains;1
552;44;156;134;land;true;plains;1
553;181;81;248;land;false;plains;1
554;245;32;163;land;false;plains;1
555;88;98;141;land;true;plains;1
556;248;22;180;land;false;plains;1
557;181;30;3;land;false;plains;1
558;204;212;68;land;false;plains;1
559;111;218;55;land;false;plains;1
560;78;155;160;land;true;plains;1
561;190;184;170;land;false;plains;1
562;148;219;237;land;true;plains;1
563;251;236;99;land;false;plains;1
564;103;197;167;land;false;plains;1
565;5;71;150;land;false;plains;1
566;239;192;77;land;false;plains;1
567;54;109;148;land;false;plains;1
568;22;68;91;land;false;plains;1
569;223;46;201;land;false;plains;1
570;203;234;111;land;false;plains;1
571;70;28;139;land;false;plains;1
572;76;61;227;land;false;plains;1
573;85;221;101;land;false;plains;1
574;149;220;225;land;false;plains;1
575;104;209;148;land;false;plains;1
576;129;56;17;land;false;plains;1
577;85;235;96;land;false;plains;1
578;31;4;19;land;false;plains;1
579;254;143;121;land;false;plains;1
580;177;57;27;land;false;plains;1
581;159;158;108;land;false;plains;1
582;120;6;46;land;false;plains;1
583;218;41;45;land;false;plains;1
584;93;29;219;land;false;plains;1
585;163;91;112;land;false;plains;1
586;225;117;88;land;false;plains;1
587;8;236;127;land;false;plains;1
588;73;63;17;land;false;plains;1
589;117;173;167;land;false;plains;1
590;227;208;251;land;false;plains;1
591;59;200;31;land;false;plains;1
592;186;168;49;land;false;plains;1
593;65;152;43;land;false;plains;1
594;89;193;18;land;true;plains;1
595;210;113;85;land;true;plains;1
596;176;77;44;land;false;plains;1
597;237;151;89;land;false;plains;1
598;236;78;145;land;false;plains;1
599;14;234;118;land;false;plains;1
600;187;199;8;land;false;plains;1
601;62;101;58;land;false;plains;1
602;13;242;16;land;false;plains;1
603;219;188;244;land;false;plains;1
604;85;209;29;land;false;plains;1
605;198;128;254;land;false;plains;1
606;8;208;188;land;true;plains;1
607;72;205;156;land;false;plains;1
608;5;194;146;land;false;plains;1
609;64;173;242;land;false;plains;1
610;235;154;75;land;false;plains;1
611;234;30;68;land;false;plains;1
612;227;138;169;land;false;plains;1
613;245;81;61;land;true;plains;1
614;40;108;113;land;false;plains;1
615;75;247;82;land;true;plains;1
616;220;80;21;land;false;plains;1
617;98;38;182;land;false;plains;1
618;47;137;39;land;false;plains;1
619;111;13;64;land;false;plains;1
620;87;238;241;land;true;plains;1
621;92;216;69;land;false;plains;1
622;115;232;217;land;false;plains;1
623;169;139;131;land;false;plains;1
624;44;52;24;land;false;plains;1
625;239;52;144;land;false;plains;1
626;83;17;194;land;false;plains;1
627;32;234;223;land;false;plains;1
628;189;118;175;land;false;plains;1
629;168;13;86;land;false;plains;1
630;153;15;130;land;false;plains;1
631;142;32;229;land;false;plains;1
632;13;116;204;land;false;plains;1
633;178;244;248;land;false;plains;1
634;72;240;247;land;true;plains;1
635;129;222;81;land;false;plains;1
636;147;190;133;land;true;plains;1
637;141;136;68;land;true;plains;1
638;173;247;32;land;false;plains;1
639;200;251;218;land;false;plains;1
640;188;139;125;land;false;plains;1
641;220;61;95;land;true;plains;1
642;255;242;42;land;false;plains;1
643;193;172;235;land;true;plains;1
644;115;204;27;land;false;plains;1
645;16;68;120;land;false;plains;1
646;170;75;127;land;false;plains;1
647;83;73;211;land;false;plains;1
648;113;235;61;land;true;plains;1
649;192;143;218;land;false;plains;1
650;104;3;221;land;true;plains;1
651;39;0;191;land;false;plains;1
652;248;100;217;land;false;plains;1
653;8;5;206;land;false;plains;1
654;104;105;148;land;false;plains;1
655;39;244;63;land;false;plains;1
656;88;223;89;land;false;plains;1
657;255;140;53;land;false;plains;1
658;106;95;176;land;false;plains;1
659;210;112;209;land;true;plains;1
660;163;43;8;land;false;plains;1
661;99;126;107;land;false;plains;1
662;208;204;137;land;false;plains;1
663;186;130;175;land;true;plains;1
664;49;234;186;land;false;plains;1
665;59;233;148;land;false;plains;1
666;82;181;1;land;false;plains;1
667;190;144;4;land;false;plains;1
668;188;45;175;land;false;plains;1
669;190;177;209;land;false;plains;1
670;42;203;149;land;false;plains;1
671;189;170;252;land;false;plains;1
672;31;217;16;land;false;plains;1
673;148;153;68;land;true;plains;1
674;85;63;32;land;false;plains;1
675;91;231;19;land;false;plains;1
676;117;99;13;land;false;plains;1
677;208;55;116;land;true;plains;1
678;5;203;172;land;false;plains;1
679;10;238;209;land;true;plains;1
680;41;246;29;land;false;plains;1
681;44;197;254;land;false;plains;1
682;27;230;20;land;false;plains;1
683;105;18;8;land;false;plains;1
684;96;33;13;land;false;plains;1
685;13;0;70;land;false;plains;1
686;23;2;89;land;false;plains;1
687;128;43;195;land;false;plains;1
688;117;119;157;land;false;plains;1
689;132;59;238;land;false;plains;1
690;197;160;135;land;false;plains;1
691;218;225;243;land;false;plains;1
692;138;230;33;land;false;plains;1
693;236;30;229;land;false;plains;1
694;184;57;127;land;false;plains;1
695;21;39;98;land;false;plains;1
696;146;12;155;land;false;plains;1
697;95;70;39;land;false;plains;1
698;178;3;118;land;false;plains;1
699;14;216;23;land;false;plains;1
700;150;67;45;land;false;plains;1
701;61;67;31;land;true;plains;1
702;118;82;72;land;false;plains;1
703;140;100;243;land;false;plains;1
704;37;21;248;land;false;plains;1
705;145;107;167;land;false;plains;1
706;183;253;251;land;false;plains;1
707;120;62;213;land;true;plains;1
708;27;82;185;land;false;plains;1
709;73;33;140;land;false;plains;1
710;41;35;121;land;false;plains;1
711;122;233;226;land;false;plains;1
712;36;99;95;land;true;plains;1
713;143;1;76;land;false;plains;1
714;230;158;9;land;false;plains;1
715;106;111;192;land;false;plains;1
716;120;158;109;land;false;plains;1
717;68;253;104;land;false;plains;1
718;128;199;237;land;false;plains;1
719;209;247;168;land;false;plains;1
720;34;65;16;land;false;plains;1
721;36;125;111;land;false;plains;1
722;240;139;200;land;false;plains;1
723;11;159;12;land;false;plains;1
724;237;40;14;land;true;plains;1
725;253;2;167;land;false;plains;1
726;38;58;13;land;false;plains;1
727;28;129;156;land;false;plains;1
728;6;43;137;land;false;plains;1
729;81;75;182;land;true;plains;1
730;127;64;117;land;false;plains;1
731;86;59;211;land;false;plains;1
732;13;240;5;land;false;plains;1
733;66;157;88;land;false;plains;1
734;178;41;178;land;false;plains;1
735;74;5;106;land;false;plains;1
736;86;244;163;land;false;plains;1
737;225;225;66;land;false;plains;1
738;126;243;44;land;false;plains;1
739;52;173;231;land;false;plains;1
740;76;56;97;land;true;plains;1
741;55;165;23;land;false;plains;1
742;114;4;2;land;false;plains;1
743;194;7;189;land;false;plains;1
744;1;50;35;land;false;plains;1
745;141;85;205;land;false;plains;1
746;42;195;211;land;false;plains;1
747;105;223;34;land;false;plains;1
748;155;13;137;land;false;plains;1
749;138;71;191;land;false;plains;1
750;97;225;92;land;false;plains;1
751;55;153;136;land;false;plains;1
752;201;245;141;land;false;plains;1
753;31;251;99;land;false;plains;1
754;61;72;132;land;false;plains;1
755;114;198;13;land;false;plains;1
756;229;180;191;land;false;plains;1
757;47;144;183;land;false;plains;1
758;77;85;221;land;false;plains;1
759;176;198;160;land;false;plains;1
760;1;194;50;land;true;plains;1
761;7;28;179;land;false;plains;1
762;175;13;209;land;false;plains;1
763;52;99;32;land;false;plains;1
764;51;74;140;land;false;plains;1
765;90;252;164;land;false;plains;1
766;161;3;58;land;false;plains;1
767;176;21;64;land;false;plains;1
768;57;164;216;land;true;plains;1
769;113;108;168;land;false;plains;1
770;155;172;28;land;false;plains;1
771;81;79;30;land;false;plains;1
772;192;15;69;land;false;plains;1
773;159;29;207;land;false;plains;1
774;92;148;36;land;false;plains;1
775;196;15;205;land;false;plains;1
776;105;173;213;land;false;plains;1
777;174;176;44;land;false;plains;1
778;245;99;155;land;false;plains;1
779;160;100;45;land;false;plains;1
780;57;148;185;land;false;plains;1
781;112;83;36;land;false;plains;1
782;22;128;44;land;false;plains;1
783;108;219;252;land;false;plains;1
784;7;84;109;land;true;plains;1
785;180;198;179;land;false;plains;1
786;87;82;207;land;true;plains;1
787;130;225;24;land;false;plains;1
788;162;181;226;land;false;plains;1
789;53;11;82;land;false;plains;1
790;30;62;123;land;false;plains;1
791;113;124;124;land;false;plains;1
792;5;165;247;land;true;plains;1
793;197;210;178;land;true;plains;1
794;86;52;56;land;false;plains;1
795;227;98;162;land;false;plains;1
796;236;112;60;land;false;plains;1
797;62;254;236;land;false;plains;1
798;246;13;117;land;false;plains;1
799;121;203;210;land;false;plains;1
800;114;47;250;land;false;plains;1
801;195;48;187;land;false;plains;1
802;93;114;37;land;false;plains;1
803;128;8;158;land;false;plains;1
804;190;6;0;land;false;plains;1
805;152;150;112;land;true;plains;1
806;232;118;153;land;false;plains;1
807;125;13;22;land;false;plains;1
808;159;240;33;land;false;plains;1
809;188;3;192;land;false;plains;1
810;126;40;138;land;false;plains;1
811;184;7;13;land;false;plains;1
812;1;72;11;land;false;plains;1
813;32;13;238;land;false;plains;1
814;179;84;125;land;false;plains;1
815;248;66;34;land;false;plains;1
816;79;77;94;land;false;plains;1
817;25;218;126;land;false;plains;1
818;117;87;18;land;false;plains;1
819;197;90;222;land;false;plains;1
820;13;174;239;land;false;plains;1
821;16;60;248;land;false;plains;1
